,,,MIS  ,,CO,,,
ISIN,,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,CO Margin(%),CO Upper Trigger,CO Multiplier
ISIN,Symbol,Not listed in BSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INE276A01018,GARFIBRES,509557,17.61,20.00,5,20.00,10,5
INE878A01011,GEPIL,532309,20.42,20.00,5,20.00,10,5
INE017A01032,GESHIP,500620,20.17,20.00,5,20.00,10,5
INE200A01026,GET&D,522275,20.28,20.00,5,20.00,10,5
INE481Y01014,GICRE,540755,20.40,20.00,5,20.00,10,5
INE322A01010,GILLETTE,507815,12.50,20.00,5,20.00,10,5
INE159A01016,GLAXO,500660,14.29,20.00,5,20.00,10,5
INE935A01035,GLENMARK,532296,19.02,20.00,5,20.00,10,5
INE541A01023,GMMPFAUDLR,505255,19.97,20.00,5,20.00,10,5
INE776C01039,GMRINFRA,532754,21.00,20.00,5,20.00,10,5
INE113A01013,GNFC,500670,22.34,20.00,5,20.00,10,5
INE260B01028,GODFRYPHLP,500163,17.90,20.00,5,20.00,10,5
INE850D01014,GODREJAGRO,540743,15.49,20.00,5,20.00,10,5
INE102D01028,GODREJCP,532424,16.01,20.00,5,20.00,10,5
INE233A01035,GODREJIND,500164,15.74,20.00,5,20.00,10,5
INE484J01027,GODREJPROP,533150,21.78,20.00,5,20.00,10,5
INE517F01014,GPPL,533248,17.86,20.00,5,20.00,10,5
INE101D01020,GRANULES,532482,20.03,20.00,5,20.00,10,5
INE371A01025,GRAPHITE,509488,26.35,20.00,5,20.00,10,5
INE047A01021,GRASIM,500300,15.94,20.00,5,20.00,10,5
INE544R01013,GREENLAM,538979,20.54,20.00,5,20.00,10,5
INE461C01038,GREENPLY,526797,21.81,20.00,5,20.00,10,5
INE382Z01011,GRSE,542011,20.82,20.00,5,20.00,10,5
INE026A01025,GSFC,500690,20.60,20.00,5,20.00,10,5
INE246F01010,GSPL,532702,17.10,20.00,5,20.00,10,5
INE186A01019,GUJALKALI,530001,23.96,20.00,5,20.00,10,5
INE844O01030,GUJGASLTD,539336,17.49,20.00,5,20.00,10,5
INE635Q01029,GULFOILLUB,538567,15.75,20.00,5,20.00,10,5
INE066F01012,HAL,541154,17.69,20.00,5,20.00,10,5
INE982F01036,HATHWAY,533162,23.95,20.00,5,20.00,10,5
INE473B01035,HATSUN,531531,19.28,20.00,5,20.00,10,5
INE176B01034,HAVELLS,517354,16.65,20.00,5,20.00,10,5
INE860A01027,HCLTECH,532281,14.80,20.00,5,20.00,10,5
INE001A01036,HDFC,500010,15.53,20.00,5,20.00,10,5
INE127D01025,HDFCAMC,541729,14.91,20.00,5,20.00,10,5
INE040A01034,HDFCBANK,500180,13.62,20.00,5,20.00,10,5
INE795G01014,HDFCLIFE,540777,14.65,20.00,5,20.00,10,5
INE545A01016,HEG,509631,27.30,20.00,5,20.00,10,5
INE578A01017,HEIDELBERG,500292,14.48,20.00,5,20.00,10,5
INE978A01027,HERITGFOOD,519552,21.33,20.00,5,20.00,10,5
INE158A01026,HEROMOTOCO,500182,14.38,20.00,5,20.00,10,5
INE782E01017,HESTERBIO,524669,20.95,20.00,5,20.00,10,5
INE548A01028,HFCL,500183,31.72,20.00,5,20.00,10,5
INE038A01020,HINDALCO,500440,21.25,20.00,5,20.00,10,5
INE531E01026,HINDCOPPER,513599,27.98,20.00,5,20.00,10,5
INE094A01015,HINDPETRO,500104,18.11,20.00,5,20.00,10,5
INE030A01027,HINDUNILVR,500696,12.50,20.00,5,20.00,10,5
INE267A01025,HINDZINC,500188,18.01,20.00,5,20.00,10,5
INE671A01010,HONAUT,517174,16.06,20.00,5,20.00,10,5
INE019C01026,HSCL,500184,23.62,20.00,5,20.00,10,5
INE031A01017,HUDCO,540530,18.91,20.00,5,20.00,10,5
INE275B01026,HUHTAMAKI,509820,17.44,20.00,5,20.00,10,5
INE069I01010,IBREALEST,532832,29.94,20.00,5,20.00,10,5
INE148I01020,IBULHSGFIN,535789,30.65,20.00,5,20.00,10,5
INE090A01021,ICICIBANK,532174,17.65,20.00,5,20.00,10,5
INE765G01017,ICICIGI,540716,15.52,20.00,5,20.00,10,5
INE726G01019,ICICIPRULI,540133,17.91,20.00,5,20.00,10,5
INE725G01011,ICRA,532835,16.91,20.00,5,20.00,10,5
INE008A01015,IDBI,500116,25.61,20.00,5,20.00,10,5
INE043D01016,IDFC,532659,24.74,20.00,5,20.00,10,5
INE092T01019,IDFCFIRSTB,539437,20.74,20.00,5,20.00,10,5
INE022Q01020,IEX,540750,21.66,20.00,5,20.00,10,5
INE559A01017,IFBIND,505726,22.00,20.00,5,20.00,10,5
INE203G01027,IGL,532514,15.58,20.00,5,20.00,10,5
INE489L01022,IIFLSEC,542773,27.88,20.00,5,20.00,10,5
INE466L01020,IIFLWAM,542772,20.50,20.00,5,20.00,10,5
INE053A01029,INDHOTEL,500850,21.58,20.00,5,20.00,10,5
INE383A01012,INDIACEM,530005,21.22,20.00,5,20.00,10,5
INE933S01016,INDIAMART,542726,22.21,20.00,5,20.00,10,5
INE562A01011,INDIANB,532814,23.90,20.00,5,20.00,10,5
INE646L01027,INDIGO,539448,19.32,20.00,5,20.00,10,5
INE873D01024,INDOCO,532612,23.04,20.00,5,20.00,10,5
INE896L01010,INDOSTAR,541336,21.01,20.00,5,20.00,10,5
INE095A01012,INDUSINDBK,532187,24.28,20.00,5,20.00,10,5
INE121J01017,INDUSTOWER,534816,22.41,20.00,5,20.00,10,5
INE483S01020,INFIBEAM,539807,25.54,20.00,5,20.00,10,5
INE009A01021,INFY,500209,13.66,20.00,5,20.00,10,5
INE177A01018,INGERRAND,500210,19.43,20.00,5,20.00,10,5
INE312H01016,INOXLEISUR,532706,20.76,20.00,5,20.00,10,5
INE565A01014,IOB,532388,26.50,20.00,5,20.00,10,5
INE242A01010,IOC,530965,14.80,20.00,5,20.00,10,5
INE485C01011,IOLCP,524164,22.37,20.00,5,20.00,10,5
INE962Y01021,IRCON,541956,17.61,20.00,5,20.00,10,5
INE335Y01020,IRCTC,542830,30.00,20.00,5,20.00,10,5
INE763G01038,ISEC,541179,19.02,20.00,5,20.00,10,5
INE858B01029,ISGEC,533033,18.36,20.00,5,20.00,10,5
INE154A01025,ITC,500875,14.46,20.00,5,20.00,10,5
INE353K01014,ITDC,532189,23.27,20.00,5,20.00,10,5
INE248A01017,ITI,523610,20.38,20.00,5,20.00,10,5
INE168A01041,J&KBANK,532209,24.68,20.00,5,20.00,10,5
INE199G01027,JAGRAN,532705,18.82,20.00,5,20.00,10,5
INE070D01027,JAICORPLTD,512237,26.01,20.00,5,20.00,10,5
INE039C01032,JAMNAAUTO,520051,22.67,20.00,5,20.00,10,5
INE572A01028,JBCHEPHARM,506943,17.72,20.00,5,20.00,10,5
INE782A01015,JCHAC,523398,16.05,20.00,5,20.00,10,5
INE197D01010,JINDALPOLY,500227,24.89,20.00,5,20.00,10,5
INE324A01024,JINDALSAW,500378,22.89,20.00,5,20.00,10,5
INE749A01030,JINDALSTEL,532286,24.15,20.00,5,20.00,10,5
INE823G01014,JKCEMENT,532644,17.71,20.00,5,20.00,10,5
INE786A01032,JKLAKSHMI,500380,18.17,20.00,5,20.00,10,5
INE789E01012,JKPAPER,532162,23.73,20.00,5,20.00,10,5
INE573A01042,JKTYRE,530007,22.21,20.00,5,20.00,10,5
INE780C01023,JMFINANCIL,523405,19.58,20.00,5,20.00,10,5
INE220G01021,JSL,532508,28.05,20.00,5,20.00,10,5
INE019A01038,JSWSTEEL,500228,19.15,20.00,5,20.00,10,5
INE643A01035,JTEKTINDIA,520057,22.74,20.00,5,20.00,10,5
INE797F01012,JUBLFOOD,533155,17.95,20.00,5,20.00,10,5
INE700A01033,JUBLPHARMA,530019,18.72,20.00,5,20.00,10,5
INE599M01018,JUSTDIAL,535648,26.37,20.00,5,20.00,10,5
INE668F01031,JYOTHYLAB,532926,15.09,20.00,5,20.00,10,5
INE217B01036,KAJARIACER,500233,16.32,20.00,5,20.00,10,5
INE220B01022,KALPATPOWR,522287,17.51,20.00,5,20.00,10,5
INE531A01024,KANSAINER,500165,15.73,20.00,5,20.00,10,5
INE036D01028,KARURVYSYA,590003,21.89,20.00,5,20.00,10,5
INE389H01022,KEC,532714,17.81,20.00,5,20.00,10,5
INE878B01027,KEI,517569,23.73,20.00,5,20.00,10,5
INE717A01029,KENNAMET,505890,18.94,20.00,5,20.00,10,5
INE880L01014,KIOCL,540680,26.57,20.00,5,20.00,10,5
INE146L01010,KIRLOSENG,533293,20.17,20.00,5,20.00,10,5
INE634I01029,KNRCON,532942,18.08,20.00,5,20.00,10,5
INE094I01018,KOLTEPATIL,532924,23.23,20.00,5,20.00,10,5
INE237A01028,KOTAKBANK,500247,16.25,20.00,5,20.00,10,5
INE001B01026,KRBL,530813,24.83,20.00,5,20.00,10,5
INE999A01015,KSB,500249,17.84,20.00,5,20.00,10,5
INE455I01029,KSCL,532899,19.38,20.00,5,20.00,10,5
INE614B01018,KTKBANK,532652,19.90,20.00,5,20.00,10,5
INE498L01015,L&TFH,533519,21.02,20.00,5,20.00,10,5
INE600L01024,LALPATHLAB,539524,18.55,20.00,5,20.00,10,5
INE059D01020,LAOPALA,526947,22.41,20.00,5,20.00,10,5
INE947Q01028,LAURUSLABS,540222,21.02,20.00,5,20.00,10,5
INE269B01029,LAXMIMACH,500252,18.88,20.00,5,20.00,10,5
INE970X01018,LEMONTREE,541233,23.76,20.00,5,20.00,10,5
INE115A01026,LICHSGFIN,500253,19.71,20.00,5,20.00,10,5
